Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
2021-03-19,784716,13937,706904.0,63875.0,1950.9377623764487,1.776056560590073
2021-03-20,789390,13969,710699.0,64722.0,1962.558123247576,1.7695942436564942
2021-03-21,793892,14007,715073.0,64812.0,1973.7508627943914,1.764345780030533
2021-03-22,798547,14036,719161.0,65350.0,1985.3239864262048,1.7576924088375512
2021-03-23,803041,14066,723286.0,65689.0,1996.496836609099,1.7515917618153993
2021-03-24,809092,14095,727471.0,67526.0,2011.5406542452122,1.7420763028184678
2021-03-25,815605,14128,732252.0,69225.0,2027.7330826477905,1.7322110580489332
2021-03-26,822095,14157,736747.0,71191.0,2043.868329129095,1.722063751756184
2021-03-27,827157,14177,741115.0,71865.0,2056.453324150414,1.7139430603863597
2021-03-28,832428,14212,745935.0,72281.0,2069.557928804182,1.7072948050762349
2021-03-29,838265,14249,750435.0,73581.0,2084.069705955395,1.699820462502908
2021-03-30,844260,14286,755350.0,74624.0,2098.9742980440574,1.6921327553123446
2021-03-31,850924,14323,759560.0,77041.0,2115.542138190654,1.68322905453366
2021-04-01,856939,14360,764096.0,78483.0,2130.49645368912,1.675731878231706
2021-04-02,862821,14390,768215.0,80216.0,2145.120108512392,1.667785090998017
2021-04-03,868200,14430,773232.0,80538.0,2158.4932195791002,1.6620594333102972
2021-04-04,873568,14463,778535.0,80570.0,2171.838982770416,1.6556238323748125
2021-04-05,879991,14502,784199.0,81290.0,2187.8076558288776,1.6479713997074967
2021-04-06,887291,14535,789424.0,83332.0,2205.9567004072323,1.6381322474813786
2021-04-07,895622,14572,794444.0,86606.0,2226.668986760968,1.6270256871760633
2021-04-08,903439,14606,799327.0,89506.0,2246.103381482749,1.6167112555468603
2021-04-09,911376,14641,804772.0,91963.0,2265.8361166633513,1.6064719720510523
2021-04-10,918155,14678,809663.0,93814.0,2282.689866416319,1.598640752378411
2021-04-11,924946,14713,814853.0,95380.0,2299.573450215169,1.5906874563488032
2021-04-12,932899,14757,820532.0,97610.0,2319.345964123615,1.5818432649193537
2021-04-13,941078,14796,826323.0,99959.0,2339.680352562843,1.5722394955572228
2021-04-14,949050,14836,831519.0,102695.0,2359.500103710602,1.5632474579842999
2021-04-15,956860,14885,837336.0,104639.0,2378.9170952389513,1.555608971009343
2021-04-16,964435,14915,843851.0,105669.0,2397.749836702107,1.546501319425363
2021-04-17,970987,14948,849718.0,106321.0,2414.0392257538024,1.5394644830466317
2021-04-18,977175,14981,856532.0,105662.0,2429.4236487470707,1.5330928441681375
2021-04-19,984950,15026,864039.0,105885.0,2448.753624308264,1.5255596730798515
2021-04-20,993158,15060,870927.0,107171.0,2469.1601116917063,1.516375038010065
2021-04-21,1001854,15098,877309.0,109447.0,2490.77985027436,1.5070060108558732
2021-04-22,1010304,15128,884181.0,110995.0,2511.787990916428,1.497371088306094
2021-04-23,1018321,15174,891007.0,112140.0,2531.719619736245,1.4900998800967475
2021-04-24,1025288,15217,897966.0,112105.0,2549.0407695413683,1.4841683507463268
2021-04-25,1031322,15257,905301.0,110764.0,2564.0423222791487,1.4793633802052124
2021-04-26,1037858,15303,913211.0,109344.0,2580.291932603001,1.4744791676703364
2021-04-27,1045010,15348,920523.0,109139.0,2598.073023948808,1.4686940794824932
2021-04-28,1051868,15392,927575.0,108901.0,2615.123181170501,1.4633014788927887
2021-04-29,1058794,15433,934935.0,108426.0,2632.3423979855256,1.4576017620046962
2021-04-30,1065199,15465,942046.0,107688.0,2648.2663199751637,1.451841393016704
2021-05-01,1070366,15498,949341.0,105527.0,2661.112362897953,1.447915946508017
2021-05-02,1074930,15536,957200.0,102194.0,2672.4592450151604,1.4453034151061002
2021-05-03,1079998,15566,964551.0,99881.0,2685.0591570594197,1.4412989653684545
2021-05-04,1086141,15608,971793.0,98740.0,2700.3317023806303,1.4370141629862052
