Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2020-12-04,0.08551766000888739,0.2042182113161628,0.0859505588974715,0.4525380684773629,0.0855176600088875,0.9347027460518804,2020-12-04
2020-12-05,0.08827390512591882,0.20908537821942774,0.0887663326078546,0.4524258773853356,0.08827390512591904,0.9311514565370715,2020-12-05
2020-12-06,0.09071357414415537,0.21334414925978473,0.09161945079715528,0.4498658806490764,0.09071357414415548,0.9279799440596723,2020-12-06
2020-12-07,0.09334928799421449,0.21902251064692724,0.094843026217318,0.4460819810907014,0.0933492879942146,0.92562007416057,2020-12-07
2020-12-08,0.09643227449761693,0.22247008720340666,0.09833697566484378,0.44370556977775966,0.09643227449761704,0.9197910345783553,2020-12-08
2020-12-09,0.09895181363252192,0.22733725410667205,0.10099889012208652,0.4429814272746744,0.09895181363252215,0.9170348351262678,2020-12-09
2020-12-10,0.1009558274689305,0.23240721963090616,0.10416719571345134,0.43516884759350105,0.10095582746893073,0.9160069138289315,2020-12-10
2020-12-11,0.10291191923533805,0.23707158791320193,0.10705018948588596,0.4289881383418156,0.10291191923533805,0.9147356192007625,2020-12-11
2020-12-12,0.10439605122143192,0.2403163658487122,0.10969716615156178,0.4211755586606424,0.10439605122143192,0.9134933871637427,2020-12-12
2020-12-13,0.10586566136813147,0.24315554654228322,0.1123516117130211,0.41323038950707314,0.10586566136813169,0.9119103706987359,2020-12-13
2020-12-14,0.10780868347908423,0.2480227134455486,0.11538099584281258,0.40594816771548337,0.10780868347908401,0.9108875635898848,2020-12-14
2020-12-15,0.10982867133882646,0.2502534982762117,0.11861502771707222,0.3979418034208084,0.10982867133882668,0.9071381512827914,2020-12-15
2020-12-16,0.1120839129967558,0.25471506793753784,0.12125304170780782,0.3955449937274981,0.11208391299675591,0.9048431289181935,2020-12-16
2020-12-17,0.1143101109758966,0.2575542486311093,0.12411512257204871,0.39149591522433114,0.11431011097589672,0.9011090565584516,2020-12-17
2020-12-18,0.11628798550139552,0.2616102210504967,0.12675911167941112,0.3871306618254511,0.11628798550139563,0.8992555192640124,2020-12-18
2020-12-19,0.118185989910226,0.2636382072601906,0.1296182049853385,0.3808377614817383,0.11818598991022611,0.895729245123333,2020-12-19
2020-12-20,0.11967738281601703,0.26708578381667003,0.1325519872491011,0.3711077340459168,0.11967738281601703,0.8947125766916186,2020-12-20
2020-12-21,0.12142000354332882,0.2697221658892719,0.13504361088247985,0.3662019235672688,0.12142000354332905,0.8922232035255981,2020-12-21
2020-12-22,0.12310163254518469,0.27276414520381254,0.1375934919029701,0.36044958030332386,0.12310163254518491,0.8902968114247938,2020-12-22
2020-12-23,0.12480504430613193,0.2751977286554448,0.13975648412187447,0.35752241272042995,0.12480504430613204,0.8877478315497656,2020-12-23
2020-12-24,0.12644165560586562,0.27661731900223074,0.1420703480356057,0.35314696013136554,0.12644165560586584,0.8844516202983055,2020-12-24
2020-12-25,0.12809714529681182,0.2788481038328938,0.14435732392451628,0.3490468856772772,0.12809714529681204,0.8818701110821592,2020-12-25
2020-12-26,0.12931117107017243,0.2812816872845265,0.146433676952332,0.34327414403296375,0.12931117107017243,0.8807248547551758,2020-12-26
2020-12-27,0.13049905753262325,0.2839180693571284,0.1487355906328096,0.33576754005731946,0.13049905753262336,0.8798442926234338,2020-12-27
2020-12-28,0.13185104078022936,0.28614885418779146,0.15099269093858625,0.3297398186583985,0.13185104078022947,0.8781315599050137,2020-12-28
2020-12-29,0.13332210311086845,0.28797404177651575,0.15321394054460202,0.3248136097993819,0.13332210311086856,0.8757169898332076,2020-12-29
2020-12-30,0.1346305208402917,0.2895964307442709,0.15552481690001985,0.31814333941885015,0.13463052084029203,0.8735753712612735,2020-12-30
2020-12-31,0.1358634250048648,0.2906104238491176,0.15775502918097584,0.31152406498923985,0.13586342500486492,0.8710883899529107,2020-12-31
2021-01-01,0.1371732949182275,0.2928412086797807,0.16070673679461878,0.300457943639275,0.1371732949182276,0.869516464446991,2021-01-01
2021-01-02,0.13839312942734572,0.2938552017846279,0.1635882367878968,0.28930002957765155,0.13839312942734583,0.8670786247454041,2021-01-02
2021-01-03,0.13946919772646083,0.2948691948894746,0.16653695684322634,0.2766734321294889,0.13946919772646105,0.8650435827265062,2021-01-03
2021-01-04,0.14033324717041962,0.2968971810991685,0.16923920333770015,0.2641896233439065,0.14033324717041973,0.8645271746444414,2021-01-04
2021-01-05,0.14143255041256542,0.29933076455080077,0.17211920955182136,0.2521239813558803,0.14143255041256553,0.8637373029091036,2021-01-05
2021-01-06,0.14265093273774432,0.3011559521395255,0.17494095837883128,0.24132303895070728,0.14265093273774443,0.8620659923160807,2021-01-06
2021-01-07,0.14379815804989127,0.3019671466234026,0.17760137905691742,0.2311748447173294,0.14379815804989127,0.8596670490968061,2021-01-07
2021-01-08,0.1447696691053676,0.30358953559115776,0.18043657189633766,0.21855844645935113,0.14476966910536748,0.8584946617752629,2021-01-08
2021-01-09,0.14608679993842744,0.3044007300750353,0.18337184793925698,0.20772690648362518,0.14608679993842777,0.8556434769775736,2021-01-09
2021-01-10,0.1469682755896593,0.3072399107686068,0.18598894902179874,0.19590604506002224,0.1469682755896592,0.855831734655081,2021-01-10
2021-01-11,0.1481314749251399,0.3094706955992699,0.18902878960568714,0.1832080532805695,0.14813147492514,0.854700730629788,2021-01-11
2021-01-12,0.14930774391607537,0.3104846887041166,0.19172655476269074,0.17299866390608587,0.14930774391607526,0.8524319309446473,2021-01-12
2021-01-13,0.15056678739155815,0.31129588318799417,0.19470216284284092,0.16148377818801185,0.15056678739155827,0.8497615099870965,2021-01-13
2021-01-14,0.15168496902491657,0.3127154735347797,0.19736706485839717,0.1510704050098422,0.15168496902491668,0.8480296738071034,2021-01-14
2021-01-15,0.1528539770961549,0.3147434597444736,0.19965254696815116,0.14357400022438216,0.15285397709615522,0.8467158931035836,2021-01-15
2021-01-16,0.15371947872405312,0.31535185560738155,0.20265354929396528,0.1291319469234143,0.15371947872405312,0.8449382170164155,2021-01-16
2021-01-17,0.15465613736498318,0.3171770431961063,0.20494052518287587,0.12000367170846632,0.1546561373649833,0.8440718239462486,2021-01-17
2021-01-18,0.15581352796470616,0.3190022307848306,0.20758302051108157,0.10999826613766867,0.15581352796470616,0.8426159326790739,2021-01-18
